[21.01.2025, 17:59:45] Алуа Боевик❤️: Нет
[24.03.2025, 23:41:49] Алуа Боевик❤️: Не болып жатыр опять
[27.03.2025, 00:28:39] Алуа Боевик❤️: https://youtu.be/kdlVvuNhQlA?si=j4dzP9MJzUz5oRGt
[27.03.2025, 00:41:46] Айман: У них все сестра разведены)
[27.03.2025, 00:41:57] Айман: Кроме Асель кажется
[27.03.2025, 00:42:14] Айман: В целом конечно нужно понимать что развод это норма
[27.03.2025, 00:42:33] Айман: Несколько разводов даже 😅
[27.03.2025, 00:54:04] Алуа Боевик❤️: Да ахахаха
[27.03.2025, 00:54:07] Алуа Боевик❤️: Интересно тоже
[27.03.2025, 02:26:21] Алуа Боевик❤️: https://dzen.ru/a/YcIDsdFRKU6ixaAc
[28.03.2025, 23:26:50] Алуа Боевик❤️: Кыздар
[28.03.2025, 23:26:58] Алуа Боевик❤️: Завтра шыгамыз ба
[28.03.2025, 23:27:05] Алуа Боевик❤️: Раз в месяц
[28.03.2025, 23:27:08] Алуа Боевик❤️: 😂
[29.03.2025, 00:04:07] Фас На Минималках🤌: 😂
[29.03.2025, 00:13:40] Жазира❤️😍🤰: Я завтра уезжаю
‎[29.03.2025, 00:14:12] Алуа Боевик❤️: ‎audio omitted
[29.03.2025, 00:14:42] Жазира❤️😍🤰: Ты капец работаешь да
[29.03.2025, 00:18:48] Алуа Боевик❤️: Ага😂
‎[29.03.2025, 00:20:16] Алуа Боевик❤️: ‎audio omitted
‎[29.03.2025, 00:24:42] Жазира❤️😍🤰: ‎audio omitted
[29.03.2025, 00:33:04] Алуа Боевик❤️: Бля ну Жан
[29.03.2025, 00:33:06] Алуа Боевик❤️: 😂
‎[29.03.2025, 00:34:14] Алуа Боевик❤️: ‎audio omitted
[29.03.2025, 00:35:07] Алуа Боевик❤️: Было отрицание 
Гнев
Сегодня смирение и принятие
[29.03.2025, 00:35:09] Алуа Боевик❤️: 😂😂😂😂😂
[29.03.2025, 00:35:17] Алуа Боевик❤️: Все стадии прошла бляеть
[29.03.2025, 00:36:29] Жазира❤️😍🤰: Я как вспомню, что мы гол назад валялись в сугробе 😂
[29.03.2025, 00:38:05] Алуа Боевик❤️: Ахахаххахахха
‎[29.03.2025, 00:38:39] Алуа Боевик❤️: ‎audio omitted
‎[29.03.2025, 00:39:35] Алуа Боевик❤️: ‎audio omitted
[29.03.2025, 10:06:37] Фас На Минималках🤌: Кыздар мне через неделю
30
[29.03.2025, 10:07:07] Фас На Минималках🤌: Меня это шокирует
[29.03.2025, 14:51:28] Акнур: ‎Video call  ‎No answer
[29.03.2025, 14:53:36] Жазира❤️😍🤰: Я первая прошла через это
[29.03.2025, 14:53:42] Жазира❤️😍🤰: 🤣
[29.03.2025, 14:53:46] Акнур: Кыздар гоуте
[29.03.2025, 14:53:47] Акнур: На видео
[29.03.2025, 14:53:49] Акнур: ‎Video call  ‎No answer
[29.03.2025, 14:53:54] Акнур: Епт
[29.03.2025, 14:54:17] Акнур: Жози
[29.03.2025, 14:54:20] Акнур: Скачай
[29.03.2025, 14:54:21] Акнур: Впнн
[29.03.2025, 14:54:24] Акнур: В Дубае не работать
[29.03.2025, 14:54:26] Акнур: Аудио
[29.03.2025, 14:54:27] Акнур: Видео
[29.03.2025, 14:54:31] Акнур: Не работает
[29.03.2025, 14:55:04] Жазира❤️😍🤰: Ааа
[29.03.2025, 14:55:05] Жазира❤️😍🤰: Для
[29.03.2025, 14:55:07] Жазира❤️😍🤰: Ща
[29.03.2025, 14:55:24] Акнур: Зеленый впн
[29.03.2025, 14:55:25] Акнур: Скачай
[29.03.2025, 14:57:06] Айман: Жази ты че улетела
[29.03.2025, 14:57:33] Жазира❤️😍🤰: Да
[29.03.2025, 14:59:30] Жазира❤️😍🤰: Скачала
[29.03.2025, 14:59:36] Акнур: Кос
[29.03.2025, 14:59:37] Акнур: Енди
[29.03.2025, 14:59:41] Акнур: Подключена Деп шыгу керек
[29.03.2025, 14:59:58] Жазира❤️😍🤰: Выходим
[29.03.2025, 15:00:02] Жазира❤️😍🤰: Уже пляж
‎[29.03.2025, 15:00:36] Жазира❤️😍🤰: ‎image omitted
[29.03.2025, 15:01:03] Акнур: ‎Video call  ‎5 min
‎[29.03.2025, 15:08:43] Алуа Боевик❤️: ‎audio omitted
[29.03.2025, 15:27:34] Жазира❤️😍🤰: Аха 😂
[30.03.2025, 11:53:59] Жазира❤️😍🤰: ‎Your security code with Жазира❤️😍🤰 changed.
[31.03.2025, 16:00:55] Айман: Кыздар
[31.03.2025, 16:00:57] Айман: Хотите прикол
[31.03.2025, 16:01:02] Айман: Мне дали визу на 1 год
[31.03.2025, 16:01:05] Айман: 😂😂😂😂😂😂😂😂😂
[31.03.2025, 16:01:13] Айман: Это максимально редкий случай
‎[31.03.2025, 16:51:07] Айман: ‎image omitted
[01.04.2025, 10:58:22] Акнур: Всмысле
[01.04.2025, 11:54:24] Айман: В прямом бро
[03.04.2025, 16:28:31] Жазира❤️😍🤰: В кино не хотите
[03.04.2025, 16:28:58] Алуа Боевик❤️: Хочу
[03.04.2025, 16:29:01] Алуа Боевик❤️: В 10?
[03.04.2025, 16:29:05] Алуа Боевик❤️: Могу
[03.04.2025, 16:29:36] Жазира❤️😍🤰: Жети гул
[03.04.2025, 16:29:48] Жазира❤️😍🤰: На Казахстанский фильм
[03.04.2025, 16:29:49] Алуа Боевик❤️: Фильм?
[03.04.2025, 16:29:58] Жазира❤️😍🤰: Ты с работы
[03.04.2025, 16:30:02] Алуа Боевик❤️: С йоги
[03.04.2025, 16:30:04] Жазира❤️😍🤰: Или с тренировок
[03.04.2025, 16:30:10] Алуа Боевик❤️: Ну в душ и к вам
[03.04.2025, 16:30:14] Алуа Боевик❤️: 10 болады
[03.04.2025, 16:30:19] Алуа Боевик❤️: На 22:30 есть сеанс?
[03.04.2025, 16:30:24] Жазира❤️😍🤰: Напишите , кто во сколько
[03.04.2025, 16:30:31] Жазира❤️😍🤰: Я сейчас посмотрю
[03.04.2025, 16:30:33] Жазира❤️😍🤰: Мега?
[03.04.2025, 16:31:02] Алуа Боевик❤️: Да
[03.04.2025, 16:31:03] Алуа Боевик❤️: Пожалуйста
[03.04.2025, 16:31:10] Алуа Боевик❤️: Я в 10 уже буду там
‎[03.04.2025, 16:32:42] Жазира❤️😍🤰: ‎image omitted
[03.04.2025, 16:32:46] Жазира❤️😍🤰: Там нету
[03.04.2025, 16:32:53] Жазира❤️😍🤰: Только в керуене
[03.04.2025, 16:39:05] Алуа Боевик❤️: Жан норм бы фильм?
‎[03.04.2025, 16:39:17] Алуа Боевик❤️: ‎audio omitted
[03.04.2025, 16:39:40] Жазира❤️😍🤰: Классный фильм
[03.04.2025, 16:39:41] Жазира❤️😍🤰: Говорят
[03.04.2025, 17:13:47] Алуа Боевик❤️: Жан в Керу билет 3200
[03.04.2025, 17:13:49] Алуа Боевик❤️: В Меге 1900
[03.04.2025, 17:13:58] Алуа Боевик❤️: Не знаю почему такая разница большая
[03.04.2025, 17:14:21] Жазира❤️😍🤰: 2100
[03.04.2025, 17:14:24] Жазира❤️😍🤰: Написано же
[03.04.2025, 17:15:29] Алуа Боевик❤️: Жан
[03.04.2025, 17:15:31] Алуа Боевик❤️: Мастер
[03.04.2025, 17:15:33] Алуа Боевик❤️: Есть
[03.04.2025, 17:15:56] Алуа Боевик❤️: https://chaplin.kz/astana/movies/2424
[03.04.2025, 17:16:03] Жазира❤️😍🤰: Ой я не хочу
[03.04.2025, 17:16:03] Алуа Боевик❤️: Джэйсон стейтом
[03.04.2025, 17:16:10] Жазира❤️😍🤰: На такой фильм
[03.04.2025, 17:16:14] Алуа Боевик❤️: Я на Каз гн хочу Жан
[03.04.2025, 17:16:16] Алуа Боевик❤️: Тупой гой
[03.04.2025, 17:16:20] Алуа Боевик❤️: Дома можно посмотреть
[03.04.2025, 17:16:29] Жазира❤️😍🤰: Ладно
[03.04.2025, 17:16:46] Жазира❤️😍🤰: Я хотела именно на этот фильм
[03.04.2025, 17:16:52] Жазира❤️😍🤰: Предложу кому нибудь еще
[03.04.2025, 17:20:20] Жазира❤️😍🤰: 😂
[03.04.2025, 21:11:41] Алуа Боевик❤️: @77784383828 @77717710330
[03.04.2025, 21:11:44] Алуа Боевик❤️: Кто в Астане
[03.04.2025, 21:11:49] Алуа Боевик❤️: Гоуте в китайку
[03.04.2025, 21:11:58] Жазира❤️😍🤰: Ау
[03.04.2025, 21:12:06] Алуа Боевик❤️: К 10 пойду
[03.04.2025, 21:12:24] Жазира❤️😍🤰: Я собираюсь в кино
[03.04.2025, 21:12:28] Алуа Боевик❤️: Кушать страшно хочу
‎[03.04.2025, 21:12:55] Алуа Боевик❤️: ‎audio omitted
‎[03.04.2025, 21:13:10] Алуа Боевик❤️: ‎audio omitted
‎[03.04.2025, 21:19:42] Айман: ‎image omitted
[03.04.2025, 21:19:46] Айман: Посмотрите пздц по идее
[03.04.2025, 21:19:55] Айман: Крутое интервью
[03.04.2025, 21:20:00] Айман: Хорошее
‎[03.04.2025, 21:53:28] Алуа Боевик❤️: ‎audio omitted
[03.04.2025, 21:57:30] Фас На Минималках🤌: Ертен давайте
[03.04.2025, 21:57:42] Фас На Минималках🤌: Может у меня получится на пару часов
[03.04.2025, 21:58:06] Фас На Минималках🤌: Или в субботу
[03.04.2025, 21:58:14] Фас На Минималках🤌: В баню хорошо б
[03.04.2025, 22:29:13] Алуа Боевик❤️: Да идея
[03.04.2025, 22:29:22] Алуа Боевик❤️: Я за
[03.04.2025, 22:29:29] Алуа Боевик❤️: Суббота или воскресенье
[03.04.2025, 22:31:21] Фас На Минималках🤌: Субббооота
[03.04.2025, 22:31:28] Фас На Минималках🤌: Только суббота
[03.04.2025, 22:31:46] Алуа Боевик❤️: Гоуан
[03.04.2025, 22:31:48] Алуа Боевик❤️: Жан
[03.04.2025, 23:04:45] Алуа Боевик❤️: Хорошое интервью
[04.04.2025, 13:04:35] Алуа Боевик❤️: Здравствуйте, Алуа 

Мы не смогли дозвониться до Вас с целью подтверждения приёма
на 05.04.2025 18:30:00

Если запись для Вас актуальна, свяжитесь, пожалуйста, с нами через этот чат (отправьте "Бyдy" или "Пoдтвepждаю") или по телефону +77713891010

Либо сообщите нам об изменении Ваших планов и желании записаться на другое время

До встречи! 

https://go.2gis.com/7zbuh
[04.04.2025, 13:04:47] Алуа Боевик❤️: Бля завтра в 18:30 зубы
[04.04.2025, 13:32:04] Алуа Боевик❤️: @77784383828 как фильм
[04.04.2025, 14:24:41] Фас На Минималках🤌: https://youtu.be/adC0OAoteN8?si=gZMYNeKynplKorPb
[04.04.2025, 14:48:35] Алуа Боевик❤️: Жан смотрю
[04.04.2025, 14:48:37] Алуа Боевик❤️: Кызык
[04.04.2025, 14:48:42] Алуа Боевик❤️: И работаю ахахаха
‎[04.04.2025, 15:11:12] Фас На Минималках🤌: ‎audio omitted
‎[05.04.2025, 11:57:51] Акнур: ‎image omitted
[05.04.2025, 15:13:39] Жазира❤️😍🤰: Может забронировать стол
[05.04.2025, 15:13:41] Жазира❤️😍🤰: ?
[05.04.2025, 15:13:50] Жазира❤️😍🤰: Мы все не будем за баром
[05.04.2025, 16:13:49] Жазира❤️😍🤰: Опасно 😂
[05.04.2025, 16:14:58] Фас На Минималках🤌: 🤣🤣🤣🤣
[05.04.2025, 16:21:30] Акнур: Лилоу
[05.04.2025, 16:21:32] Акнур: Или Малена?
[05.04.2025, 19:10:37] Акнур: Кыздар
[05.04.2025, 19:10:39] Акнур: Что решили?
[05.04.2025, 19:55:21] Фас На Минималках🤌: Сендердин жазуларын кыйын болып кетти гой
[05.04.2025, 19:55:31] Фас На Минималках🤌: Шыгудын алдында
[05.04.2025, 19:55:38] Фас На Минималках🤌: 😂😂😂😂
[05.04.2025, 19:56:38] Жазира❤️😍🤰: Малена
[05.04.2025, 19:56:49] Жазира❤️😍🤰: Омир киындап бара жатыр ма
[05.04.2025, 20:02:28] Айман: Я просто не буду отвечать
[05.04.2025, 20:02:50] Айман: На всякий случай
[05.04.2025, 20:05:09] Жазира❤️😍🤰: Буду удалять кто не будет отвечать 😂
[05.04.2025, 20:10:43] Жазира❤️😍🤰: Сен Келесин ба
[05.04.2025, 20:11:04] Акнур: Малена
[05.04.2025, 20:11:06] Акнур: Все решили вопрос
[05.04.2025, 20:14:06] Фас На Минималках🤌: Нет
[05.04.2025, 20:35:23] Фас На Минималках🤌: Мой лимит исчерпан на пару месяцев теперь 😂
[05.04.2025, 22:36:29] Алуа Боевик❤️: Люди ко мне вчера приезжал Дамир
И он был такой конченный, что прям мне стало мерзко от него
Абьюзер и газлайтер
Он просто меня доводил до ебанутого состояние и ушел сегодня ты такая сякая деп
[05.04.2025, 22:36:31] Алуа Боевик❤️: Бля
[05.04.2025, 22:37:15] Жазира❤️😍🤰: Юля
[05.04.2025, 22:37:16] Алуа Боевик❤️: Люди я впервые так четко увидела, какой он мелкий человек изнутри 
Всякую хуйню нес, начал тон повышать и материться
[05.04.2025, 22:37:31] Алуа Боевик❤️: Послала его 
Если честно думала может подойти и ударить
[05.04.2025, 22:37:54] Алуа Боевик❤️: Хотел припугнуть типо насмотрелась бишимбаева деп
[05.04.2025, 22:38:25] Айман: Бля
[05.04.2025, 22:38:44] Алуа Боевик❤️: Фу мне прям стало мерзко от него
Настолько себя чувствует конченным рядом, что все что можно и нельзя на меня выложил и в конце сделал так, что это я его упрекаю
[05.04.2025, 22:39:05] Алуа Боевик❤️: Почему ч так поздно увидела все это хз
Видимо из встречи к встрече забывала
[05.04.2025, 22:39:31] Алуа Боевик❤️: Ози коркып сидит, и пытается меня сделать виноватой
[05.04.2025, 22:39:49] Айман: Он что руку поднял на тебя?
[05.04.2025, 22:39:53] Алуа Боевик❤️: Что я неисправима и я не могу рот заткнуть
[05.04.2025, 22:39:55] Алуа Боевик❤️: Нет
[05.04.2025, 22:40:08] Алуа Боевик❤️: Но ч так тоже наорала хочешь ударить деп
[05.04.2025, 22:40:20] Айман: Пздц скандал
[05.04.2025, 22:40:27] Алуа Боевик❤️: Он такой ты опять начинаешь 
Я прям вспомнила тот фильм где изводят жену
[05.04.2025, 22:40:32] Алуа Боевик❤️: Прям тоже самое
[05.04.2025, 22:40:37] Айман: А где момент за что стыдно?
[05.04.2025, 22:40:44] Айман: Нихуя не стыдно
[05.04.2025, 22:40:56] Алуа Боевик❤️: Все что не скажешь, ты начала, ты сякая, ты можешь помолчать или я уйду
[05.04.2025, 22:40:57] Алуа Боевик❤️: Деп
[05.04.2025, 22:41:04] Алуа Боевик❤️: Бля и не уходил
[05.04.2025, 22:41:09] Алуа Боевик❤️: Потом наконец то ушел
[05.04.2025, 22:41:17] Алуа Боевик❤️: С ором бляеть
[05.04.2025, 22:41:32] Айман: Ретроградный Меркурий
[05.04.2025, 22:41:52] Алуа Боевик❤️: Фу мне прям стало мерзко что я с ним вообще была и мне кажется я никогда не любила его
Это болезнь бляеть
[05.04.2025, 22:42:18] Алуа Боевик❤️: Я все делала не так 
Говорю, не говори 
Рассказываю, не то говорю
[05.04.2025, 22:42:27] Алуа Боевик❤️: Что то спрашиваю 
Я докапываюсь
[05.04.2025, 22:42:28] Айман: Пздц
[05.04.2025, 22:42:54] Алуа Боевик❤️: Он начинает психовать и потом я и он говорит не повышай тон, ты ахуела
[05.04.2025, 22:43:17] Алуа Боевик❤️: Бля мне не было страшно
Я просто была в ахуе
[05.04.2025, 22:43:31] Айман: Жестко
[05.04.2025, 22:43:46] Алуа Боевик❤️: До сих пор в шоке 
Он совсем ебнулся 
Ч потом тоже начала нахуй посылать
[05.04.2025, 22:43:59] Алуа Боевик❤️: Он боится отца моего
[05.04.2025, 22:44:10] Алуа Боевик❤️: Только это останавливало
[05.04.2025, 22:44:27] Айман: Пизда
[05.04.2025, 22:44:30] Алуа Боевик❤️: Он уже все 
Пропал
[05.04.2025, 22:44:42] Айман: Как он у тебя вообще оказался
[05.04.2025, 22:44:44] Алуа Боевик❤️: Не то, что со мной 
Ни с кем он не сможет быть
[05.04.2025, 22:44:50] Айман: Где ерасыл
[05.04.2025, 22:44:53] Алуа Боевик❤️: Это я сама виновата
[05.04.2025, 22:45:00] Алуа Боевик❤️: Попрощались Жан
[05.04.2025, 22:45:12] Алуа Боевик❤️: Норм все 
Мы адекватно согласились
[05.04.2025, 22:45:26] Алуа Боевик❤️: Ну не прям так
Просто закончили все это
[05.04.2025, 22:45:34] Алуа Боевик❤️: Приехал сразу с КРГ
‎[05.04.2025, 22:46:16] Алуа Боевик❤️: ‎audio omitted
[05.04.2025, 22:46:55] Алуа Боевик❤️: Короче бля я впервые в жизни так благодарна, что не вышла за него и не поехала к родителям за эти 4 года
[05.04.2025, 22:47:22] Алуа Боевик❤️: Чистый абьюзер как Шакенти, только гораздо психованнее и опаснее
[05.04.2025, 22:47:35] Айман: Бля
[05.04.2025, 22:47:43] Алуа Боевик❤️: Он может даже при родителях замахнуться
[05.04.2025, 22:47:48] Алуа Боевик❤️: Нету уважения к родителям
[05.04.2025, 22:48:03] Айман: Хуево
[05.04.2025, 22:48:08] Айман: Конечно
[05.04.2025, 22:48:15] Айман: Надеюсь ты убедилась
[05.04.2025, 22:48:38] Алуа Боевик❤️: Бро я думала попрощались на ноте благодарности
[05.04.2025, 22:48:45] Алуа Боевик❤️: Оказалось он больной
[05.04.2025, 22:48:46] Айман: Так и чувствовала
[05.04.2025, 22:48:51] Айман: Что какая то хуйня
[05.04.2025, 22:48:58] Айман: Как пропадаешь так сразу
[05.04.2025, 22:49:01] Айман: 😆
‎[05.04.2025, 22:49:09] Алуа Боевик❤️: ‎audio omitted
[05.04.2025, 22:49:30] Алуа Боевик❤️: Юля мне прям обидно стало что я так сильно все это не видела
[05.04.2025, 22:49:42] Алуа Боевик❤️: Специально слепая болып
‎[05.04.2025, 22:50:22] Алуа Боевик❤️: ‎audio omitted
[05.04.2025, 22:50:39] Алуа Боевик❤️: Наглый такой еще
[05.04.2025, 22:50:49] Фас На Минималках🤌: Жан мне даже нечего сказать
[05.04.2025, 22:51:05] Алуа Боевик❤️: Он мне говорит да ты у нас королева, а я хуевый
Бляеть я ничего не говорю
[05.04.2025, 22:51:07] Алуа Боевик❤️: Сам с собой
[05.04.2025, 22:51:08] Фас На Минималках🤌: Это ты с ним со вчера сралась в одной кв наедине?
[05.04.2025, 22:51:10] Алуа Боевик❤️: Как псих
[05.04.2025, 22:51:16] Алуа Боевик❤️: Со вчера ночи
[05.04.2025, 22:51:21] Алуа Боевик❤️: До сегодня вечера
[05.04.2025, 22:51:27] Алуа Боевик❤️: Тел у меня сел
Зарядку он забрал
[05.04.2025, 22:51:27] Фас На Минималках🤌: Жесть
[05.04.2025, 22:51:37] Фас На Минималках🤌: Главное что не тронул а мог
[05.04.2025, 22:51:42] Алуа Боевик❤️: Не нашла 
Потом доперла, что есть он наушников
[05.04.2025, 22:51:53] Алуа Боевик❤️: Да Жан 
Я четко поняла, что он ударит
[05.04.2025, 22:52:13] Алуа Боевик❤️: Это я еще не сильно наезжала 
Видела что опасно
[05.04.2025, 22:52:16] Фас На Минималках🤌: Бляяя это не шутки пиздетьься с мужиком
[05.04.2025, 22:52:19] Алуа Боевик❤️: В конце ток повысила тон
[05.04.2025, 22:52:36] Алуа Боевик❤️: Бро Шакенти это хуйня
Это прям Бишимбаев
[05.04.2025, 22:52:50] Алуа Боевик❤️: Его 2 удара, нет лица
[05.04.2025, 22:52:55] Фас На Минималках🤌: Да я представляю
[05.04.2025, 22:53:08] Алуа Боевик❤️: Он еще специально хотел запугать
[05.04.2025, 22:53:23] Фас На Минималках🤌: Хорошо что он сдержал себя
[05.04.2025, 22:53:32] Алуа Боевик❤️: Встал и сказал ты что наслушалась Бишимбаеаа и тебе можно пиздеть теперь
[05.04.2025, 22:53:37] Алуа Боевик❤️: Он так не делал раньше Жан
[05.04.2025, 22:53:43] Алуа Боевик❤️: Это прям угроза была
[05.04.2025, 22:53:52] Алуа Боевик❤️: Я тогда испугалась
[05.04.2025, 22:54:14] Фас На Минималках🤌: Да эта история кажется не так повлияла на мужиков как должна была
[05.04.2025, 22:54:17] Айман: Жестко конечно
[05.04.2025, 22:54:24] Алуа Боевик❤️: Да Жан я не поняла
[05.04.2025, 22:54:39] Алуа Боевик❤️: Почему он теперь так говорит 
Типо бабы ахуели
[05.04.2025, 22:54:49] Алуа Боевик❤️: А можно также получить как Салтанат
[05.04.2025, 22:55:07] Алуа Боевик❤️: Фу мне прям мерзко, что он зная что мы вдвоем решил меня пугнуть
[05.04.2025, 22:55:34] Алуа Боевик❤️: Самое конченное, чем может мужчина руководствоваться
[05.04.2025, 22:55:53] Алуа Боевик❤️: Я хотела его проклить бляеть
[05.04.2025, 22:55:53] Фас На Минималках🤌: Жан не зови его больше
[05.04.2025, 22:55:58] Алуа Боевик❤️: Потом думаю
[05.04.2025, 22:56:05] Алуа Боевик❤️: Не надо 
Вдруг чьл то случится
[05.04.2025, 22:56:11] Алуа Боевик❤️: Жан прошел год
[05.04.2025, 22:56:17] Алуа Боевик❤️: А я забыла что было тогда
[05.04.2025, 22:56:23] Алуа Боевик❤️: Теперь не забуду
[05.04.2025, 22:56:36] Фас На Минималках🤌: Теперь никогда не забывай
[05.04.2025, 22:56:43] Алуа Боевик❤️: Кудай сактады от него и отец
[05.04.2025, 22:56:56] Алуа Боевик❤️: Кто сказал он тебя убьет и жить не даст
[05.04.2025, 22:57:01] Фас На Минималках🤌: В след раз он уже ударит
[05.04.2025, 22:57:10] Фас На Минималках🤌: Мне кажется ему терять нечего
‎[05.04.2025, 22:57:22] Алуа Боевик❤️: ‎audio omitted
[05.04.2025, 22:57:26] Алуа Боевик❤️: Да Жан
[05.04.2025, 22:57:30] Айман: Бро вы гуляли да?
[05.04.2025, 22:57:35] Алуа Боевик❤️: Да конечно
[05.04.2025, 22:57:39] Алуа Боевик❤️: И потом знаете чьл
[05.04.2025, 22:57:41] Айман: Эти штуки на нервы же действуют
[05.04.2025, 22:57:45] Айман: Ты что
‎[05.04.2025, 22:57:50] Алуа Боевик❤️: ‎audio omitted
[05.04.2025, 22:58:02] Айман: Это все сильно на нервы давит человек вообще может убить
[05.04.2025, 22:58:07] Айман: Нервы сильно стимулирует
[05.04.2025, 22:58:11] Айман: Если они у него конченные
[05.04.2025, 22:58:18] Айман: Он вообще на состоянии аффекта сделает
[05.04.2025, 22:58:22] Айман: Все что угодно
[05.04.2025, 22:58:43] Фас На Минималках🤌: Прям олай емес енди
[05.04.2025, 22:58:47] Фас На Минималках🤌: 🤣🤣🤣🤣
‎[05.04.2025, 22:58:49] Алуа Боевик❤️: ‎audio omitted
[05.04.2025, 22:58:51] Айман: Солай
[05.04.2025, 22:58:57] Фас На Минималках🤌: Не накручивай
[05.04.2025, 22:59:04] Айман: Нет нет бро есть исследования
[05.04.2025, 22:59:06] Алуа Боевик❤️: У него было 5 
Мы сделали 1.5 Макс и он тупо забрал все
[05.04.2025, 22:59:25] Фас На Минималках🤌: Олай емес, с его то стажем 😂😂😂
[05.04.2025, 22:59:32] Алуа Боевик❤️: Бляеть знал чьл мне будет плохо
[05.04.2025, 22:59:37] Алуа Боевик❤️: И сука специально кинул
[05.04.2025, 22:59:55] Жазира❤️😍🤰: Я выезжаю
[05.04.2025, 23:00:00] Алуа Боевик❤️: Фу бля а когда он приходил никакой ко мне, я его вытаскивала с этого состояния
[05.04.2025, 23:00:04] Фас На Минималках🤌: 😂
[05.04.2025, 23:00:18] Алуа Боевик❤️: Пидараз, я такая будет время когда ты так будешь просить и унижаться
[05.04.2025, 23:00:24] Жазира❤️😍🤰: Параллельно разговариваю с Молдир
[05.04.2025, 23:00:27] Жазира❤️😍🤰: Ничего не успеваю
[05.04.2025, 23:00:30] Фас На Минималках🤌: Жан, выпей вина и постарайся уснуть
[05.04.2025, 23:00:39] Жазира❤️😍🤰: Выйди
[05.04.2025, 23:00:41] Алуа Боевик❤️: Обязательно будет и я буду бляеть Рада видеть его бишарашное лицо
[05.04.2025, 23:00:48] Алуа Боевик❤️: Да взяла и так
[05.04.2025, 23:01:10] Алуа Боевик❤️: Просто хотела высказаться 
Один плюс 
Он точно у меня в прошлом
‎[05.04.2025, 23:01:28] Алуа Боевик❤️: ‎audio omitted
[05.04.2025, 23:01:43] Алуа Боевик❤️: Ахахахахаха
[05.04.2025, 23:01:50] Алуа Боевик❤️: Ей расскажи походу дела
[05.04.2025, 23:02:12] Алуа Боевик❤️: И радостно что с ним кончено и мерзко, что я это 4 года тянула
[05.04.2025, 23:02:29] Алуа Боевик❤️: Пиздец тупой надо быть, чтобы так поздно увидеть все четко
[05.04.2025, 23:02:33] Жазира❤️😍🤰: Басын айттым
[05.04.2025, 23:02:35] Алуа Боевик❤️: Ебать конечно
[05.04.2025, 23:03:11] Алуа Боевик❤️: Я не могла переварить этот бред бля
[05.04.2025, 23:03:19] Алуа Боевик❤️: Сидела в ахуе пару часов
[05.04.2025, 23:09:15] Жазира❤️😍🤰: Неге такси док
[05.04.2025, 23:09:21] Акнур: Я едк
[05.04.2025, 23:09:23] Акнур: Еду
‎[05.04.2025, 23:09:25] Жазира❤️😍🤰: ‎audio omitted
[05.04.2025, 23:10:17] Айман: Вряд ли она придет она испытывает фиаско
[05.04.2025, 23:10:26] Айман: Но нельзя оставаться одной, надо на свет
[05.04.2025, 23:10:30] Айман: Потом лечь спать
[05.04.2025, 23:10:32] Жазира❤️😍🤰: Даа
[05.04.2025, 23:10:45] Жазира❤️😍🤰: Собраться отвлечься надо
[05.04.2025, 23:10:50] Айман: Да
[05.04.2025, 23:12:10] Айман: Жози 
Акнур домой
[05.04.2025, 23:12:17] Айман: @77784383828
[05.04.2025, 23:17:26] Жазира❤️😍🤰: Нет
[05.04.2025, 23:17:28] Жазира❤️😍🤰: Она там
[05.04.2025, 23:18:25] Алуа Боевик❤️: Я начну оутсорс
[05.04.2025, 23:18:34] Айман: Позвонила она сказала домой уезжает
[05.04.2025, 23:18:38] Алуа Боевик❤️: За пару дней и от Ерасыла и от него избавилась
[05.04.2025, 23:18:48] Алуа Боевик❤️: И как то резко
[05.04.2025, 23:18:50] Жазира❤️😍🤰: Нет она там
[05.04.2025, 23:18:50] Алуа Боевик❤️: Тяжеловато
[05.04.2025, 23:20:04] Айман: Я пас
[05.04.2025, 23:20:38] Акнур: Я еду в малену
[05.04.2025, 23:36:57] Фас На Минималках🤌: Жан он капец депрессивный
[06.04.2025, 01:56:43] Алуа Боевик❤️: Я поставила патруль 😂
[06.04.2025, 01:56:53] Алуа Боевик❤️: Айман куда
[06.04.2025, 02:36:21] Айман: ‎Алуа Боевик❤️ added Айман. Tap to change who can add other members.
[07.04.2025, 21:58:21] Алуа Боевик❤️: Всем привет
[07.04.2025, 21:58:23] Алуа Боевик❤️: 😂😂😂😂😂😂
[07.04.2025, 21:58:42] Алуа Боевик❤️: Короче план такой 
Завтра хотим собраться все у Жози
[07.04.2025, 21:59:00] Алуа Боевик❤️: Потому что Айман улетает скоро 
Я тоже в Атырау
[07.04.2025, 21:59:37] Алуа Боевик❤️: Приедем с алкашкой и закажем китайку там же 
С каждого по алкашке
На еду скинемся на ходу 😂
[07.04.2025, 21:59:50] Алуа Боевик❤️: @77784383828 она согласна
[07.04.2025, 22:00:26] Фас На Минималках🤌: Во сколько?
[07.04.2025, 22:09:59] Алуа Боевик❤️: Не знаю Жан
[07.04.2025, 22:10:07] Алуа Боевик❤️: К 8:30?
[07.04.2025, 23:22:26] Алуа Боевик❤️: Ну и
Что молчим
[07.04.2025, 23:27:22] Фас На Минималках🤌: Я неуверена что смогу
[07.04.2025, 23:27:28] Фас На Минималках🤌: Если че подтянусь
[07.04.2025, 23:50:58] Алуа Боевик❤️: Завтра точно скажем
